Row,2250,2500,2750,3000,3250
-20,145/46/52,151/53/58,157/59/64,154/60/65,149/60/65
-10,143/44/50,149/51/56,155/57/62,155/60/65,151/60/65
0,141/43/48,147/49/54,153/55/60,153/57/63,152/59/64
10,139/41/46,145/47/53,151/53/59,150/55/61,150/58/63
20,137/39/44,143/46/51,148/51/56,148/53/59,147/56/61
30,136/37/43,142/44/49,146/49/54,145/51/57,145/54/59
40,134/36/41,140/42/47,144/47/52,143/50/55,143/52/57
45,134/35/40,139/42/46,143/47/52,142/49/54,142/51/56
47,133/35/40,139/41/46,144/47/51,143/49/54,142/51/56
49,133/34/39,138/40/45,144/46/51,144/49/54,143/51/56
51,133/34/39,138/40/45,143/46/50,145/49/53,144/51/55
53,132/33/38,138/39/44,143/45/50,145/49/53,145/51/55
55,132/33/38,137/39/43,143/45/49,146/49/53,146/51/55
57,132/32/37,137/38/43,143/44/49,147/49/53,146/50/55
59,132/32/37,137/38/42,142/43/48,147/49/53,147/51/55
61,131/32/36,137/38/42,142/43/47,147/48/53,148/51/55
63,131/31/36,136/37/41,142/43/47,147/48/52,148/50/55
65,131/31/36,136/37/41,141/42/46,146/47/51,149/50/55
67,130/30/35,136/36/40,141/42/46,146/46/51,150/51/55
68,130/30/35,136/36/40,141/41/45,146/46/50,150/50/55
