Row,2250,2500,2750,3000,3250
-20,73.3,75.5,77.2,78.0,78.4
-10,72.6,74.9,76.6,77.4,77.9
0,71.9,74.2,76.0,76.7,77.3
10,71.1,73.5,75.3,76.1,76.7
20,70.3,72.7,74.7,75.3,75.9
30,69.6,71.9,73.9,74.7,75.3
40,68.9,71.3,73.3,73.9,74.6
41,68.8,71.1,73.2,73.9,74.5
43,67.9,70.3,72.3,73.0,73.7
45,67.0,69.3,71.3,72.2,72.7
47,66.1,68.3,70.3,71.3,71.8
49,65.2,67.4,69.2,70.4,70.8
51,64.3,66.4,68.2,69.5,70.0
53,63.4,65.5,67.2,68.5,69.0
55,62.5,64.6,66.2,67.5,68.1
57,61.6,63.7,65.2,66.5,67.2
59,60.8,62.8,64.3,65.5,66.3
61,60.0,61.9,63.4,64.6,65.5
63,59.1,61.1,62.5,63.6,64.6
64,58.7,60.6,62.0,63.2,64.1
