Row,2250,2500,2750,3000,3250
-20,143/44/50,149/51/56,155/57/62,156/60/65,156/62/67
-10,141/43/48,147/49/54,153/55/60,153/58/63,153/60/65
0,139/41/46,145/47/52,151/53/58,151/56/61,150/58/63
10,138/39/44,143/45/51,149/51/56,148/54/59,148/56/61
20,136/37/43,141/44/49,147/49/55,146/52/57,146/54/59
30,134/36/41,140/42/47,145/48/53,144/50/55,143/52/57
40,133/34/39,138/40/45,142/46/51,142/48/53,141/50/55
43,132/34/39,137/40/45,142/45/50,141/47/52,140/49/54
45,132/33/38,137/39/44,142/45/50,142/47/52,141/49/54
47,132/33/38,137/39/44,142/45/49,143/47/52,142/49/54
49,131/32/37,137/38/43,142/44/49,143/47/52,143/49/54
51,131/32/37,136/38/43,142/43/48,144/47/52,143/49/54
53,131/31/36,136/37/42,141/43/47,145/47/52,144/49/54
55,130/31/36,136/37/41,141/42/47,146/47/52,145/49/54
57,130/31/35,135/36/41,141/42/46,146/47/51,146/49/54
59,130/30/35,135/36/40,140/41/46,145/46/51,147/49/53
61,130/30/34,135/35/40,140/41/45,145/46/50,147/49/53
63,129/29/34,135/35/39,140/40/45,145/45/50,148/49/53
65,129/29/34,134/34/39,140/40/44,144/45/49,149/49/53
66,129/29/34,134/34/39,139/40/44,144/45/49,149/49/53
