Row,1750,2000,2250,2500,2750
-20,132/32/37,139/40/45,145/47/52,152/54/59,158/60/65
-10,130/30/35,137/38/43,143/45/50,149/52/56,156/58/63
0,128/28/33,135/36/41,141/43/48,147/50/55,154/56/61
10,127/27/32,133/35/39,139/42/46,145/48/53,151/54/59
20,125/25/30,131/33/37,137/40/44,143/46/51,149/52/57
30,123/24/29,130/31/36,136/38/43,141/44/49,147/50/55
40,122/23/28,128/30/34,134/37/41,140/43/47,145/49/53
45,121/22/27,127/29/34,133/36/40,139/42/46,144/48/52
47,121/21/26,127/29/33,133/35/40,139/42/46,144/47/52
49,121/21/26,127/28/33,133/35/39,138/41/45,144/47/51
51,121/21/26,127/28/32,133/35/39,138/40/45,144/46/50
53,120/20/25,126/27/32,132/34/38,138/40/44,143/46/50
55,120/20/25,126/27/31,132/34/38,138/40/44,143/45/49
57,120/20/25,126/27/31,132/33/37,137/39/43,143/45/49
59,120/20/25,126/26/30,132/33/37,137/39/42,143/44/48
61,120/20/24,125/26/30,131/32/36,137/38/42,142/44/48
63,119/19/24,125/25/29,131/32/36,137/38/41,142/43/47
65,119/19/23,125/25/29,131/31/35,136/37/41,142/43/46
67,119/19/23,125/25/29,130/31/34,136/37/40,142/42/46
68,118/18/23,124/24/28,130/31/34,136/36/40,141/42/46
