Row,1750,2000,2250,2500,2750
-20,68.3,71.2,73.5,75.2,76.6
-10,67.5,70.5,72.9,74.8,76.1
0,66.8,69.7,72.2,74.1,75.6
10,66.0,69.0,71.5,73.5,75.1
20,65.3,68.3,70.8,72.8,74.4
30,64.5,67.5,70.0,72.1,73.8
40,63.7,66.9,69.4,71.5,73.3
41,63.6,66.8,69.3,71.4,73.1
43,62.9,65.9,68.4,70.5,72.2
45,62.1,65.1,67.5,69.5,71.2
47,61.3,64.2,66.6,68.5,70.1
49,60.4,63.3,65.6,67.5,69.0
51,59.5,62.4,64.7,66.5,68.0
53,58.7,61.5,63.8,65.5,66.9
55,57.8,60.6,62.8,64.6,65.9
57,57.0,59.8,61.9,63.6,64.9
59,56.2,59.0,61.1,62.7,64.0
61,55.4,58.1,60.2,61.8,63.0
63,54.6,57.3,59.4,60.9,62.1
64,54.2,56.9,58.9,60.5,61.6
