Row,1750,2000,2250,2500,2750
-20,129/29/34,135/36/41,141/43/48,147/50/54,154/56/60
-10,127/27/32,133/34/39,139/41/46,145/48/52,151/54/58
0,125/25/30,131/33/37,137/40/44,143/46/50,149/52/56
10,123/23/29,130/31/36,136/38/42,141/44/48,147/50/54
20,122/22/27,128/29/34,134/36/41,140/42/47,145/48/52
30,120/21/26,126/28/32,132/35/39,138/41/45,143/46/51
40,119/20/25,125/26/31,131/33/37,136/39/43,141/45/49
41,119/20/25,125/26/31,130/33/37,136/39/43,141/45/49
43,119/19/24,124/26/30,130/32/37,136/38/43,141/44/48
45,118/19/24,124/25/30,130/32/36,135/38/42,141/44/48
47,118/18/23,124/25/29,130/32/36,135/37/41,140/43/47
49,118/18/23,124/24/29,129/31/35,135/37/41,140/42/46
51,118/18/22,123/24/28,129/31/34,135/36/40,140/42/46
53,117/17/22,123/24/28,129/30/34,134/36/40,140/41/45
55,117/17/22,123/23/27,129/30/34,134/35/39,139/41/45
57,117/17/21,123/23/27,128/29/33,134/35/39,139/41/44
59,117/17/21,122/22/27,128/29/33,133/34/38,139/40/44
61,116/16/21,122/22/26,128/28/32,133/34/38,139/40/43
63,116/16/20,122/22/26,127/28/32,133/34/37,138/39/42
64,116/16/20,122/22/26,127/28/31,133/33/37,138/39/42
