Row,1750,2000,2250,2500,2750
-20,71.0,73.8,76.2,77.8,79.1
-10,70.3,73.2,75.5,77.3,78.6
0,69.5,72.4,74.9,76.8,78.1
10,68.8,71.7,74.2,76.2,77.6
20,67.9,70.9,73.4,75.4,76.9
30,67.2,70.1,72.7,74.7,76.3
40,66.4,69.5,72.0,74.1,75.8
45,66.0,69.1,71.6,73.7,75.5
47,65.1,68.2,70.6,72.7,74.4
49,64.3,67.2,69.7,71.7,73.2
51,63.4,66.3,68.7,70.6,72.1
53,62.5,65.4,67.7,69.6,71.0
55,61.6,64.5,66.7,68.6,69.9
57,60.8,63.6,65.8,67.6,68.9
59,60.0,62.8,65.0,66.7,67.9
61,59.2,62.0,64.1,65.7,66.9
63,58.3,61.1,63.2,64.8,65.9
65,57.5,60.2,62.3,63.8,65.0
67,56.6,59.3,61.4,62.9,64.0
68,56.2,58.9,61.0,62.4,63.5
