Row,2250,2500,2750,3000,3250
-20,141/43/48,147/49/54,153/55/60,154/58/63,154/60/65
-10,139/41/46,145/47/52,151/53/58,151/56/61,151/58/63
0,138/39/44,143/45/50,149/51/56,149/54/59,149/56/61
10,136/37/42,141/43/48,147/49/54,147/52/57,146/54/59
20,134/36/41,139/42/47,145/48/52,144/50/55,144/52/57
30,133/34/39,138/40/45,143/46/51,142/48/53,142/50/55
40,131/32/38,136/39/43,141/44/49,140/46/51,140/48/53
41,131/32/37,136/38/43,141/44/49,140/46/51,140/48/53
43,131/32/37,136/38/43,141/43/48,141/46/51,140/48/53
45,130/31/36,135/37/42,141/43/48,141/46/51,141/48/53
47,130/31/36,135/37/42,140/42/47,142/46/50,141/48/52
49,130/30/35,135/36/41,140/42/47,143/46/50,142/48/52
51,129/30/35,135/36/41,140/41/46,144/46/50,143/48/52
53,129/29/34,134/35/40,139/41/45,144/46/50,144/48/52
55,129/29/34,134/35/39,139/40/45,144/45/50,145/48/52
57,129/29/33,134/34/39,139/40/44,144/45/49,145/48/52
59,128/28/33,133/34/38,139/39/44,143/44/48,146/48/52
61,128/28/33,133/33/38,138/39/43,143/44/48,147/48/52
63,128/28/32,133/33/37,138/38/42,143/43/47,147/48/52
64,128/28/32,133/33/37,138/38/42,142/43/47,147/47/51
