Row,2250,2500,2750,3000,3250
-20,74.8,76.9,78.6,79.3,79.7
-10,74.1,76.3,78.0,78.7,79.2
0,73.3,75.6,77.4,78.1,78.6
10,72.5,74.9,76.7,77.4,78.0
20,71.7,74.1,76.0,76.7,77.2
30,70.9,73.3,75.3,75.9,76.5
40,70.2,72.6,74.5,75.3,75.9
43,69.9,72.4,74.3,75.0,75.6
45,69.1,71.4,73.4,74.1,74.7
47,68.2,70.5,72.4,73.2,73.8
49,67.2,69.5,71.4,72.3,72.8
51,66.3,68.5,70.3,71.4,71.9
53,65.4,67.5,69.3,70.4,70.9
55,64.4,66.6,68.2,69.5,70.0
57,63.6,65.7,67.3,68.6,69.1
59,62.8,64.8,66.3,67.6,68.2
61,61.9,63.9,65.4,66.6,67.3
63,61.1,63.0,64.5,65.7,66.5
65,60.2,62.1,63.5,64.7,65.6
66,59.7,61.7,63.1,64.2,65.1
